id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Electa;Crona;Marianna3@gmail.com;lost while lest;2024-01-08T22:40:44;18772;15061
2;Carley;Walsh;Anthony26@yahoo.com;little who;2024-01-08T13:31:32;6900;3634
3;Annamae;Becker;Niko53@yahoo.com;jell flax;2024-01-08T23:11:32;971;23637
4;Aileen;Corkery;Alessandra_Huels87@hotmail.com;amazing;2024-01-09T01:29:13;26987;22539
5;Palma;Strosin;Mabel.Rippin@yahoo.com;anenst officially bah;2024-01-09T01:40:59;29679;25689
6;Raphael;Rogahn;Eduardo_Cummings44@yahoo.com;stacking;2024-01-08T09:28:35;32566;20124
7;Sienna;McGlynn;Ariel88@hotmail.com;fervently that;2024-01-09T08:36:53;1967;17173
8;Brittany;Jenkins;Porter20@gmail.com;reliable upon;2024-01-08T15:51:07;10554;6180
9;Elizabeth;Mante;Winona_Leuschke62@hotmail.com;what large;2024-01-09T01:19:40;24967;17933
10;Robin;Kilback;Kirsten_Kunze69@hotmail.com;bomb gently;2024-01-08T22:43:21;25913;32224
